Unique_Identifier,Painting_Title,Painting_Title_Capitals,Clean_Title
TWW0000001373,"Barstaple's Almhouses, Trinity Hospital, Old Market","Barstaple's Almhouses, Trinity Hospital, Old Market",Barstaple's Almhouses Trinity Hospital Old Market
TWW0000001374,"Barstaple's Almhouses, Trinity Hospital, Old Market","Barstaple's Almhouses, Trinity Hospital, Old Market",Barstaple's Almhouses Trinity Hospital Old Market
TWW0000001375,"Barstaple's Almhouses, Trinity Hospital, Old Market","Barstaple's Almhouses, Trinity Hospital, Old Market",Barstaple's Almhouses Trinity Hospital Old Market
TWW0000001376,"Alderman Stephens' Almshouses, Old Market","Alderman Stephens' Almshouses, Old Market",Alderman Stephens' Almshouses Old Market
TWW0000001377,"Alderman Stephens' Almshouses, Old Market","Alderman Stephens' Almshouses, Old Market",Alderman Stephens' Almshouses Old Market
TWW0000001378,Trinity Chapel from Barstaple's Almhouses,Trinity Chapel Barstaple's Almhouses,Trinity Chapel Barstaple's Almhouses
TWW0000001379,St. Philip's from Slip at Temple Backs,St. Philip's Slip Temple Backs,St Philip's Slip Temple Backs
TWW0000001380,The Mouth of Castle Ditch,The Mouth Castle Ditch,Mouth Castle Ditch
TWW0000001381,Glasshouses in St Philip's,Glasshouses St Philip's,Glasshouses St Philip's
TWW0000001382,New Gas Works,New Gas Works,New Gas Works
TWW0000001383,"Entrance to the Pied Poudre Court, and the 'Stag and Hounds', Old Market","Entrance Pied Poudre Court, 'Stag Hounds', Old Market",Pied Poudre Court 'Stag Hounds' Old Market
TWW0000001384,Mary-le-Port Church,Mary-le-Port Church,Mary le Port Church
TWW0000001385,Corner of High Street and Mary-le-Port Street,Corner High Street Mary-le-Port Street,Corner High Street Mary le Port Street
TWW0000001386,Old Houses adjoining Mary-le-Port Church,Old Houses Mary-le-Port Church,Old Houses Mary le Port Church
TWW0000009242,View of Penzance from Lariggan,View Penzance Lariggan,Penzance Lariggan
TWW0000009243,Coastal scene with wrecked sailing vessel,Coastal,Coastal
TWW0000009244,Pendeen Manor,Pendeen Manor,Pendeen Manor
TWW0000009245,A Lass that Loves a Sailor,A Lass Loves Sailor,Lass Loves Sailor
TWW0000009246,Idle Moments,Idle Moments,Idle Moments
TWW0000009248,A Newlyn Fishwife,A Newlyn Fishwife,Newlyn Fishwife
TWW0000009249,"Time Moveth Not, Our Being 'Tis That Moves","Time Moveth Not, Our Being 'Tis That Moves",Time Moveth Not Our Being 'Tis That Moves
TWW0000009250,Absent Thoughts,Absent Thoughts,Absent Thoughts
TWW0000009251,The Breadwinners / Newlyn Fishwives,The Breadwinners / Newlyn Fishwives,Breadwinners Newlyn Fishwives
TWW0000009252,Departure of the Fleet for the North,Departure Fleet North,Departure Fleet North
TWW0000009253,Among the Missing,Among Missing,Among Missing
TWW0000009254,Cottage Steps Newlyn,Cottage Steps Newlyn,Cottage Steps Newlyn
TWW0000000085,Hartsop,Hartsop,Hartsop
TWW0000000086,The Vale of St. John towards Skiddaw,The Vale St. John Skiddaw,Vale St John Skiddaw
TWW0000000087,Entry into Borrowdale,Entry Borrowdale,Entry Borrowdale
TWW0000000088,Loweswater From the West,Loweswater From West,Loweswater West
TWW0000000089,"Bowderstone, Cumberland","Bowderstone, Cumberland",Bowderstone Cumberland
TWW0000000090,Derwentwater Above Keswick,Derwentwater Above Keswick,Derwentwater Above Keswick
TWW0000000091,Derwentwater From Castle Crag,Derwentwater From Castle Crag,Derwentwater Castle Crag
TWW0000000092,Elterwater,Elterwater,Elterwater
TWW0000000093,Langdale Pikes From Lowwood,Langdale Pikes From Lowwood,Langdale Pikes Lowwood
TWW0000000094,"Horseman with Cattle, Ullswater","Horseman Cattle, Ullswater",Horseman Cattle Ullswater
TWW0000000095,Kirby Lonsdale,Kirby Lonsdale,Kirby Lonsdale
TWW0000000096,Bridge House,Bridge House,Bridge House
TWW0000000097,Borrowdale,Borrowdale,Borrowdale
TWW0000000098,Grasmere Lake,Grasmere Lake,Grasmere Lake
TWW0000006539,"Sunset on the Chain of Alps Seen from Mount Pilatus Near Lucerne, Switzerland","Sunset Chain Alps Seen Mount Pilatus Near Lucerne, Switzerland",Chain Alps Seen Mount Pilatus Lucerne Switzerland
TWW0000006540,"The Shadow of the Rock of Tiberius, Capri","The Shadow Rock Tiberius, Capri",Shadow Rock Tiberius Capri
TWW0000006541,"View of Mt. Eiger from the Mountain Side at Muerren, Switzerland","View Mt. Eiger Mountain Side Muerren, Switzerland",Mt Eiger Mountain Muerren Switzerland
TWW0000006542,The Village of Gawsworth,The Village Gawsworth,Village Gawsworth
TWW0000006543,Coast scene,Coast,Coast
TWW0000006544,"Moorland, Near Loch Achray","Moorland, Near Loch Achray",Moorland Loch Achray
TWW0000006545,"Street in Lehon, Brittany","Street Lehon, Brittany",Street Lehon Brittany
TWW0000006546,A Cottage at Freshwater Gate,A Cottage Freshwater Gate,Cottage Freshwater Gate
TWW0000006547,A Cottage at Freshwater Gate,A Cottage Freshwater Gate,Cottage Freshwater Gate
TWW0000006548,On the Scheldt,On Scheldt,On Scheldt
TWW0000006549,The Castle of Clisson,The Castle Clisson,Castle Clisson
TWW0000006550,"Church Interior, Northern France","Church Interior, Northern France",Church Northern France
TWW0000006551,A Young Naval Officer,A Young Naval Officer,Naval Officer
TWW0000006552,A Buttress of Snowdon,A Buttress Snowdon,Buttress Snowdon
TWW0000005853,"Longitudinal section of the Boulton and Watt Engine erected at the East London Water Works, Old Ford","Longitudinal Boulton Watt Engine East London Water Works, Old Ford",Longitudinal Boulton Watt Engine East London Water Works Old Ford
TWW0000005854,"Plan of the Cornish Engine and Boilers erected at the East London Water Works, Old Ford","Plan Cornish Engine Boilers East London Water Works, Old Ford",Cornish Engine Boilers East London Water Works Old Ford
TWW0000005855,"Plan of the Cornish Engine and Boilers erected at the East London Water Works, Old Ford","Plan Cornish Engine Boilers East London Water Works, Old Ford",Cornish Engine Boilers East London Water Works Old Ford
TWW0000005856,Sections of the Boulton and Watt Waggon-Head Boilers erected at the East London Water Works,Sections Boulton Watt Waggon-Head Boilers East London Water Works,Sections Boulton Watt Waggon Head Boilers East London Water Works
TWW0000005857,Old Style Ladle for pouring Molten Metal,Old Style Ladle Molten Metal,Old Style Ladle Molten Metal
TWW0000005858,James Nasmyth's Safety Ladle,James Nasmyth's Safety Ladle,James Nasmyth's Safety Ladle
TWW0000005859,"Large Paring Machine 2ft 6in stroke, front, back and side elevations",Large Paring Machine 2ft 6in,Large Paring Machine 2ft 6in
TWW0000005860,"Bar Cutting Machine, plan, front and side elevations and detail","Bar Cutting Machine,",Bar Cutting Machine
TWW0000005861,"Improved Radial Drilling Machine, plans, front, back and side elevations","Improved Radial Drilling Machine,",Improved Radial Drilling Machine
TWW0000005862,"Rivet Making Machine, plan, front and side elevations and section","Rivet Making Machine,",Rivet Making Machine
TWW0000005863,"Punching and Shearing Machine, front and side elevation with detail","Punching Shearing Machine,",Punching Shearing Machine
TWW0000005864,"Improved Fly-Planing Machine as employed at the Royal Carriage Department, front and side elevations","Improved Fly-Planing Machine Royal Carriage Department,",Improved Fly Planing Machine Royal Carriage Department
TWW0000005865,"Steam Pile Driving Machinery, plan, elevation and sections","Steam Pile Driving Machinery,",Steam Pile Driving Machinery
TWW0000005866,"Registered Engine, front and side elevations","Registered Engine,",Registered Engine
TWW0000009087,A Safe Maker,A Safe Maker,Safe Maker
TWW0000009088,A Locksmith,A Locksmith,Locksmith
TWW0000009089,A Silversmith,A Silversmith,Silversmith
TWW0000009090,A Bucket Repairman,A Bucket Repairman,Bucket Repairman
TWW0000009091,Darning Clothes,Darning Clothes,Darning Clothes
TWW0000009092,A Juggler,A Juggler,Juggler
TWW0000009093,A Stone Mason Making A Millstone,A Stone Mason Making A Millstone,Mason Making Millstone
TWW0000009094,A Flower Peddler,A Flower Peddler,Flower Peddler
TWW0000009095,A Monodrama Performer,A Monodrama Performer,Monodrama Performer
TWW0000009096,A Chicken and Duck Peddler,A Chicken Duck Peddler,Chicken Duck Peddler
TWW0000009097,A Monkey Trainer,A Monkey Trainer,Monkey Trainer
TWW0000009098,A Lacquerware Painter,A Lacquerware Painter,Lacquerware Painter
TWW0000009099,A Blacksmith,A Blacksmith,Blacksmith
TWW0000009100,A Weaver,A Weaver,Weaver
TWW0000003277,"Perspective View of Blagdon House in Northumberland, the Seat of Sir Mathew Ridley","Perspective View Blagdon House Northumberland, Seat Sir Mathew Ridley",Perspective Blagdon House Northumberland Mathew Ridley
TWW0000003278,Overtschie [sic],Overtschie [sic],Overtschie
TWW0000003279,"Esher in Surrey, the Seat of Miss Pelham","Esher Surrey, Seat Miss Pelham",Esher Surrey Miss Pelham
TWW0000003280,"Hermitage, Richmond Gardens, Surrey, Called Queen Caroline's Hermitage","Hermitage, Richmond Gardens, Surrey, Called Queen Caroline's Hermitage",Hermitage Richmond Gardens Surrey Called Queen Caroline's Hermitage
TWW0000003281,The Ruins of Koningsveldt Abbey,The Ruins Koningsveldt Abbey,Koningsveldt Abbey
TWW0000003282,Stannington House,Stannington House,Stannington House
TWW0000003283,The Brother Tree in Whinfield [sic] Park near Penrith,The Brother Tree Whinfield [sic] Park Penrith,Brother Tree Whinfield Park Penrith
TWW0000003284,Dilston Hall,Dilston Hall,Dilston Hall
TWW0000003285,An Old Monument in Alnmouth Church,An Old Monument Alnmouth Church,Old Monument Alnmouth Church
TWW0000003286,The Green-House at the Earl of Exeter's at Burleigh,The Green-House Earl Exeter's Burleigh,Green House Earl Exeter's Burleigh
TWW0000003287,New Rooms at Bath,New Rooms Bath,New Rooms Bath
TWW0000003288,"Temple at Wentworth Castle, from Under the Arch of the Bridge","Temple Wentworth Castle, Under Arch Bridge",Temple Wentworth Castle Under Arch Bridge
TWW0000003289,Wentworth Castle,Wentworth Castle,Wentworth Castle
TWW0000003290,"Launceston Castle in Cornwall, in Ruins","Launceston Castle Cornwall, Ruins",Launceston Castle Cornwall
TWW0000005643,The Islands at Bolney on the Thames from Park Place,The Islands Bolney Thames Park Place,Islands Bolney Thames Park Place
TWW0000005644,"The Battle of Waterloo, 18th June, 1815","The Battle Waterloo, 18th June,",Waterloo 18th June
TWW0000005645,Cottages near St. Albans,Cottages St. Albans,Cottages St Albans
TWW0000005646,Derwent River,Derwent River,Derwent River
TWW0000005648,Heidelberg,Heidelberg,Heidelberg
TWW0000005649,River Thames,River Thames,River Thames
TWW0000005650,"Black Lion Lane, Canterbury","Black Lion Lane, Canterbury",Black Lion Lane Canterbury
TWW0000005651,"On the River Lynn, Devon","On River Lynn, Devon",On River Lynn Devon
TWW0000005652,"On the River Lynn, Devon","On River Lynn, Devon",On River Lynn Devon
TWW0000005653,Dhows on the Nile,Dhows Nile,Dhows Nile
TWW0000005654,"The Room of Marie De Medici, Château de Blois","The Room Marie De Medici, Château Blois",Marie De Medici Château Blois
TWW0000005655,"The Theatre of Xanthus, Lycia","The Theatre Xanthus, Lycia",Theatre Xanthus Lycia
TWW0000005656,HMS Queen and HMS Cumberland off Spithead,Queen Cumberland Spithead,Queen Cumberland Spithead
TWW0000004971,"Ludlow Castle, Shropshire","Ludlow Castle, Shropshire",Ludlow Castle Shropshire
TWW0000004972,"The Lake of Coniston, Lake District","The Lake Coniston, Lake District",Lake Coniston Lake District
TWW0000004973,"Ludlow Castle, Shropshire","Ludlow Castle, Shropshire",Ludlow Castle Shropshire
TWW0000004974,"Hadrian's Villa, Tivoli","Hadrian's Villa, Tivoli",Hadrian's Villa Tivoli
TWW0000004975,Near Calais,Near Calais,Calais
TWW0000004976,The Cave at Freshwater,The Cave Freshwater,Cave Freshwater
TWW0000004977,"The West Gate and Obelisk, Winchester","The West Gate Obelisk, Winchester",West Gate Obelisk Winchester
TWW0000004978,The Interior of Winchester Cathedral,The Interior Winchester Cathedral,Winchester Cathedral
TWW0000004979,The Calais Fishing Fleet Setting Sail: Grey Morning,The Calais Fishing Fleet Setting Sail: Grey Morning,Calais Fleet Setting Sail Grey Morning
TWW0000004980,Esneh from the Nile,Esneh Nile,Esneh Nile
TWW0000004981,The Temple at Luxor,The Temple Luxor,Temple Luxor
TWW0000004982,A Village on the Nile,A Village Nile,Village Nile
TWW0000008639,Afternoon Rainbow,Afternoon Rainbow,Afternoon Rainbow
TWW0000008640,Sunrise,Sunrise,Sunrise
TWW0000008641,"Thunder Cloud, Portland Pier, Lake Erie","Thunder Cloud, Portland Pier, Lake Erie",Thunder Cloud Portland Pier Lake Erie
TWW0000008642,"Afternoon, Hastings Landing","Afternoon, Hastings Landing",Afternoon Hastings Landing
TWW0000008643,"Houses on a Tobacco Plantation, Virginia","Houses Tobacco Plantation, Virginia",Houses Tobacco Plantation Virginia
TWW0000008644,"Fort Union, Missouri","Fort Union, Missouri",Fort Union Missouri
TWW0000008645,"William Rogers House, Billerica, Massachusetts","William Rogers House, Billerica, Massachusetts",William Rogers House Billerica Massachusetts
TWW0000008646,Steamboat 'Sylvan Grove',Steamboat 'Sylvan Grove',Steamboat 'Sylvan Grove'
TWW0000008647,"55-59 Maiden Lane, New York City","Maiden Lane, New York City",Maiden Lane New York City
TWW0000008648,"Erie Canal, NY","Erie Canal,",Erie Canal
TWW0000008649,"New Amsterdam, New Netherland","New Amsterdam, New Netherland",New Amsterdam New Netherland
TWW0000008650,"The Hudson River Steamboat, 'Clermont'","The Hudson River Steamboat, 'Clermont'",Hudson River Steamboat 'Clermont'
TWW0000008651,Niagara Falls from Above,Niagara Falls Above,Niagara Falls Above
TWW0000008652,"Covered Bridge across the Sacandaga River, Hadley, NY","Covered Bridge Sacandaga River, Hadley,",Covered Bridge Sacandaga River Hadley
TWW0000025840,Derwent Water,Derwent Water,Derwent Water
TWW0000025841,Aira Force,Aira Force,Aira Force
TWW0000025842,Wast Water,Wast Water,Wast Water
TWW0000025843,Eskdale,Eskdale,Eskdale
TWW0000025844,Eskdale,Eskdale,Eskdale
TWW0000025845,Grassmere [sic] and Rydale [sic] from Highest House in England,Grassmere [sic] Rydale [sic] Highest House England,Grassmere Rydale Highest House England
TWW0000025846,Brother's Water from Kirkstone Pap,Brother's Water Kirkstone Pap,Brother's Water Kirkstone Pap
TWW0000025847,Brother's Water,Brother's Water,Brother's Water
TWW0000025848,Brother's Water,Brother's Water,Brother's Water
TWW0000025849,Ullswater,Ullswater,Ullswater
TWW0000025850,Ullswater,Ullswater,Ullswater
TWW0000025851,Ullswater,Ullswater,Ullswater
TWW0000025852,Ullswater,Ullswater,Ullswater
TWW0000025853,Ullswater,Ullswater,Ullswater
TWW0000004733,"Clare Hall, Cambridge","Clare Hall, Cambridge",Clare Hall Cambridge
TWW0000004734,Norwich Cathedral,Norwich Cathedral,Norwich Cathedral
TWW0000004735,View of Edinburgh,View Edinburgh,Edinburgh
TWW0000004736,Frank's Hall. near Farningham,Frank's Hall. Farningham,Frank's Hall Farningham
TWW0000004737,Cambridge,Cambridge,Cambridge
TWW0000004738,"Beddington Church, Surrey","Beddington Church, Surrey",Beddington Church Surrey
TWW0000004739,"View at Hythe, Kent","View Hythe, Kent",Hythe Kent
TWW0000004740,"Stockjobbers, Stock Exchange","Stockjobbers, Stock Exchange",Stockjobbers Stock Exchange
TWW0000004741,Moorland Scene,Moorland Scene,Moorland
TWW0000004742,View of Arles,View Arles,Arles
TWW0000004743,St. Paul's Cathedral,St. Paul's Cathedral,St Paul's Cathedral
TWW0000004744,"Upper Pool, River Thames","Upper Pool, River Thames",Upper Pool River Thames
TWW0000004745,St. Bartholomew-the-Great,St. Bartholomew-the-Great,St Bartholomew Great
TWW0000004746,"Lincoln's Inn Fields, Holborn","Lincoln's Inn Fields, Holborn",Lincoln's Inn Fields Holborn
TWW0000004103,"The Queen's Palace, St. James' Park, and Buildings Adjacent","The Queen's Palace, St. James' Park, Buildings Adjacent",Queen's Palace St James' Park Buildings Adjacent
TWW0000004104,The Summer House on Richmond Terrace,The Summer House Richmond Terrace,Summer House Richmond Terrace
TWW0000004105,Vue du Moulin de la Charité pres Toure,Vue Moulin Charité Toure,Vue Moulin Charité Toure
TWW0000004106,Le Moulin d'Estrembliers sur le Mont Salives in Savoy,Le Moulin Mont Salives Savoy,Le Moulin Mont Salives Savoy
TWW0000004107,"Château de Creche, Switzerland","Château Creche, Switzerland",Château Creche Switzerland
TWW0000004108,A Beacon above the River Aar Between Walburg and the Forest of Soleure in the Canton of Soleure,A Beacon River Aar Between Walburg Forest Soleure Canton Soleure,Beacon River Aar Between Walburg Forest Soleure Canton Soleure
TWW0000004109,La Port de Cologne at Aix-La-Chapelle,La Port Cologne Aix-La-Chapelle,La Port Cologne Aix La Chapelle
TWW0000004110,"View of the Ramparts, Aix-La-Chapelle","View Ramparts, Aix-La-Chapelle",Ramparts Aix La Chapelle
TWW0000004111,"Cour de Versailles, Rue de Promenade, de 7 Heures à Spa","Cour Versailles, Rue Promenade, 7 Heures Spa",Cour Versailles Rue Promenade 7 Heures Spa
TWW0000004112,View near Lisbon,View Lisbon,Lisbon
TWW0000004113,"The River Thames, taken from Inigo Jones' Gateway in York Buildings","The River Thames, Inigo Jones' Gateway York Buildings",River Thames Inigo Jones' York Buildings
TWW0000004114,"The Barfleur, of 90 Guns","The Barfleur, Guns",Barfleur Guns
TWW0000004115,Twickenham Common,Twickenham Common,Twickenham Common
TWW0000004116,"View from Queensferry, near Edinburgh","View Queensferry, Edinburgh",Queensferry Edinburgh
TWW0000000841,Camp Otahuhu on the Waikato Road near Auckland New Zealand,Camp Otahuhu Waikato Road Auckland New Zealand,Camp Otahuhu Waikato Road Auckland New Zealand
TWW0000000842,"From near the chapel, Ratahihi, New Zealand","From Ratahihi, New Zealand",Ratahihi New Zealand
TWW0000000843,Ladybird,Ladybird,Ladybird
TWW0000000844,Bergamo fair with a view of the high city of Bergamo,Bergamo Bergamo,Bergamo Bergamo
TWW0000000845,Paola Pollini in Lambrini,Paola Pollini Lambrini,Paola Pollini Lambrini
TWW0000000846,"The Belvedere, Petit Trianon","The Belvedere, Petit Trianon",Belvedere Petit Trianon
TWW0000000847,"The Hameau, Petit Trianon","The Hameau, Petit Trianon",Hameau Petit Trianon
TWW0000000848,"Temple of Love, Petit Trianon","Temple Love, Petit Trianon",Temple Love Petit Trianon
TWW0000000849,Mayor or Judge of the Sierra,Mayor Judge Sierra,Mayor Judge Sierra
TWW0000000850,Slaves splitting stones to extract diamonds,Slaves,Slaves
TWW0000000851,Diamond mine,Diamond,Diamond
TWW0000000852,Brazilian slaves,Brazilian,Brazilian
TWW0000000853,Dance of slaves,Dance,Dance
TWW0000000854,Woman carrying tray of fruit on her head and her baby on her back,Woman,
TWW0000003837,Willimoteswick,Willimoteswick,Willimoteswick
TWW0000003838,Denton on the Site of a House Formerly of the Priors of Tynemouth,Denton Site House Formerly Priors Tynemouth,Denton Site House Formerly Priors Tynemouth
TWW0000003839,"Chibborn [sic.], Bay of Druridge - South Side of the Chapel","Chibborn [sic.], Bay Druridge - South Side Chapel",Chibborn Bay Druridge South Chapel
TWW0000003840,North Side of the Chapel at Chibborn [sic.],North Side Chapel Chibborn [sic.],North Chapel Chibborn
TWW0000003841,Staircase in Langley Castle,Staircase Langley Castle,Staircase Langley Castle
TWW0000003842,"Old House at Cullercoats, Formerly the Residence of a Duchess of Somerset","Old House Cullercoats, Formerly Residence Duchess Somerset",Old House Cullercoats Formerly Residence Duchess Somerset
TWW0000003843,"Room over the Chapel, Chibborn [sic.], Bay of Druridge","Room Chapel, Chibborn [sic.], Bay Druridge",Chapel Chibborn Bay Druridge
TWW0000003844,"Tower and Remains of a Church on the House Island, Farne Islands","Tower Remains Church House Island, Farne Islands",Tower Remains Church House Island Farne Islands
TWW0000003845,"Statue of Sesostris, Limestone","Statue Sesostris, Limestone",Statue Sesostris Limestone
TWW0000013399,Balmoral: the tower of the new Castle,Balmoral: Castle,Balmoral Castle
TWW0000013400,Allt-na-guibhsaich,Allt-na-guibhsaich,Allt na guibhsaich
TWW0000013401,Castle on the Shore of a Loch,Castle Shore Loch,Castle Shore Loch
TWW0000013402,Balmoral Castle: east corner with entrance porch,Balmoral Castle:,Balmoral Castle
TWW0000013403,"View of Ilam Hall, Staffordshire","View Ilam Hall, Staffordshire",Ilam Hall Staffordshire
TWW0000013404,Looking up the Dee from near Mar Castle,Looking Dee Mar Castle,Dee Mar Castle
TWW0000013405,Florence: Villa Fabbricotti,Florence: Villa Fabbricotti,Florence Villa Fabbricotti
TWW0000013406,"Adelaide Cottage, Windsor Home Park","Adelaide Cottage, Windsor Home Park",Adelaide Cottage Windsor Home Park
TWW0000013407,Woburn Abbey: West Front from the Park,Woburn Abbey: West Front Park,Woburn Abbey West Park
TWW0000013408,Panshanger: Entrance Front,Panshanger: Entrance Front,Panshanger
TWW0000013409,Panshanger: View from the Queen's Sitting-Room,Panshanger: View Queen's Sitting-Room,Panshanger Queen's Sitting
TWW0000013410,Brocket Hall: View from the House looking down the Lake in the Park,Brocket Hall: View House Lake Park,Brocket Hall House Lake Park
TWW0000013411,Brocket Hall: North and East Fronts of the House seen from above,Brocket Hall: North East Fronts House,Brocket Hall North East Fronts House
TWW0000013412,Panshanger: distant view,Panshanger:,Panshanger
TWW0000000281,Near Bergen,Near Bergen,Bergen
TWW0000000282,"Sketch: Changing the Guard, Blois","Sketch: Changing Guard, Blois",Changing Guard Blois
TWW0000000283,"Effigy: Head of Ilaria Del Carretto, Lucca","Effigy: Head Ilaria Del Carretto, Lucca",Effigy Head Ilaria Del Carretto Lucca
TWW0000000284,Wasen Chalets,Wasen Chalets,Wasen Chalets
TWW0000000286,Blois,Blois,Blois
TWW0000000287,Piers Gill,Piers Gill,Piers Gill
TWW0000000288,Two Watercolours,Two Watercolours,Watercolours
TWW0000000289,Chamonix,Chamonix,Chamonix
TWW0000000290,"Zell-Am-See, Full Moon","Zell-Am-See, Full Moon",Zell Am See Full Moon
TWW0000000291,Grossglockner Group from Schmittenhohe,Grossglockner Group Schmittenhohe,Grossglockner Group Schmittenhohe
TWW0000000292,"Hrutsstadir, Hamastador, Hordadalr & Hvammefjord","Hrutsstadir, Hamastador, Hordadalr & Hvammefjord",Hrutsstadir Hamastador Hordadalr & Hvammefjord
TWW0000000293,"""Thingmount"", Fellfoot, Little Langdale","""Thingmount"", Fellfoot, Little Langdale",Thingmount Fellfoot Little Langdale
TWW0000000294,Laatefos,Laatefos,Laatefos
TWW0000002213,"Hare and Hounds Inn, St. James' Square, Newport","Hare Hounds Inn, St. James' Square, Newport",Hare Hounds Inn St James' Square Newport
TWW0000002214,"Pan Down, near Newport","Pan Down, Newport",Pan Down Newport
TWW0000002215,Shide Hill House,Shide Hill House,Shide Hill House
TWW0000002216,"Coast near Melton, Isle of Wight","Coast Melton, Isle Wight",Coast Melton Isle Wight
TWW0000002217,Shanklin Village,Shanklin Village,Shanklin Village
TWW0000002218,"Undercliffe, Isle of Wight","Undercliffe, Isle Wight",Undercliffe Isle Wight
TWW0000002219,Carisbrooke Village,Carisbrooke Village,Carisbrooke Village
TWW0000002220,Obelisk erected to the memory of Sir Robert Worsley,Obelisk Sir Robert Worsley,Obelisk Robert Worsley
TWW0000002221,Free School,Free School,Free School
TWW0000002222,Norris Castle,Norris Castle,Norris Castle
TWW0000002223,Lighthouse near the Needles,Lighthouse Needles,Lighthouse Needles
TWW0000002224,West Cowes,West Cowes,West Cowes
TWW0000002225,West Cowes,West Cowes,West Cowes
TWW0000002226,The Keep at Carisbrooke Castle,The Keep Carisbrooke Castle,Keep Carisbrooke Castle
TWW0000007071,"The Campanile, Venice","The Campanile, Venice",Campanile Venice
TWW0000007072,A Mountain View,A Mountain View,Mountain
TWW0000007073,Baron Nelson of the Nile,Baron Nelson Nile,Baron Nelson Nile
